********************************************************************************
product = Open Liberty 19.0.0.3 (wlp-1.0.26.cl190320190321-1636)
wlp.install.dir = D:/devel/tools/wlp/
java.home = C:\Program Files\Java\jre1.8.0_211
java.version = 1.8.0_211
java.runtime = Java(TM) SE Runtime Environment (1.8.0_211-b12)
os = Windows 10 (10.0; amd64) (es_PE)
process = 10252@DESKTOP-DIRMJ0E
********************************************************************************
[04/07/19 16:43:53:264 COT] 0000001c com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicación web disponible (default_host): http://localhost:9080/jwt/
[04/07/19 16:43:53:247 COT] 0000001f com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Cargando módulo web: health.
[04/07/19 16:43:53:266 COT] 0000001f com.ibm.ws.webcontainer                                      I SRVE0250I: El módulo web health se ha enlazado con default_host.
[04/07/19 16:43:53:266 COT] 0000001f com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicación web disponible (default_host): http://localhost:9080/health/
[04/07/19 16:43:53:267 COT] 0000001d com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicación web disponible (default_host): http://localhost:9080/ibm/api/
[04/07/19 16:43:53:271 COT] 0000001e com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicación web disponible (default_host): http://localhost:9080/openapi/
[04/07/19 16:43:53:275 COT] 00000020 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicación web disponible (default_host): http://localhost:9080/metrics/
[04/07/19 16:43:53:358 COT] 00000020 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Iniciando la aplicación security.
[04/07/19 16:43:53:380 COT] 0000001f com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Iniciando la aplicación proyectoTutorial.
[04/07/19 16:43:53:380 COT] 00000022 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Iniciando la aplicación softswitch-legacy.
[04/07/19 16:43:53:390 COT] 0000001d com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Iniciando la aplicación softswitch.
[04/07/19 16:43:53:398 COT] 0000001c com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Iniciando la aplicación AppWeb.
[04/07/19 16:43:53:400 COT] 0000001e com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Iniciando la aplicación testingPrimefaces.
[04/07/19 16:43:53:561 COT] 00000021 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Iniciando la aplicación AsterikProject.
[04/07/19 16:43:57:273 COT] 0000004a com.ibm.ws.session.WASSessionCore                            I SESN0176I: Se creará un nuevo contexto de sesión para la clave de aplicación default_host/health
[04/07/19 16:43:57:306 COT] 00000047 com.ibm.ws.session.WASSessionCore                            I SESN0176I: Se creará un nuevo contexto de sesión para la clave de aplicación default_host/openapi/ui
[04/07/19 16:43:57:322 COT] 0000004d com.ibm.ws.session.WASSessionCore                            I SESN0176I: Se creará un nuevo contexto de sesión para la clave de aplicación default_host/jwt
[04/07/19 16:43:57:358 COT] 0000004a com.ibm.ws.util                                              I SESN0172I: El gestor de sesiones está utilizando la implementación de SecureRandom Java por omisión para la generación del ID de sesión.
[04/07/19 16:43:57:374 COT] 00000048 com.ibm.ws.session.WASSessionCore                            I SESN0176I: Se creará un nuevo contexto de sesión para la clave de aplicación default_host/metrics
[04/07/19 16:43:57:462 COT] 0000004e com.ibm.ws.session.WASSessionCore                            I SESN0176I: Se creará un nuevo contexto de sesión para la clave de aplicación default_host/openapi
[04/07/19 16:43:57:465 COT] 00000049 com.ibm.ws.session.WASSessionCore                            I SESN0176I: Se creará un nuevo contexto de sesión para la clave de aplicación default_host/ibm/api
